v8-version,8,6,235,0,0
code-creation,Builtin,3,3667,0x108ca7500,12,BigIntPrototypeToString
code-creation,Builtin,3,3676,0x108ca7520,12,BigIntPrototypeValueOf
code-creation,Builtin,3,3685,0x108ca7540,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,3694,0x108ca7560,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,3703,0x108ca7580,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,3712,0x108ca75a0,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,3721,0x108ca75c0,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,3730,0x108ca75e0,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,3739,0x108ca7600,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,3748,0x108ca7620,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,3757,0x108ca7640,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,3766,0x108ca7660,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,3776,0x108ca7680,12,CallSitePrototypeGetThis
code-creation,Builtin,3,3784,0x108ca76a0,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,3793,0x108ca76c0,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,3802,0x108ca76e0,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,3811,0x108ca7700,12,CallSitePrototypeIsEval
code-creation,Builtin,3,3837,0x108ca7720,12,CallSitePrototypeIsNative
code-creation,Builtin,3,3846,0x108ca7740,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,3855,0x108ca7760,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,3863,0x108ca7780,12,CallSitePrototypeToString
code-creation,Builtin,3,3873,0x108ca77a0,12,ConsoleDebug
code-creation,Builtin,3,3881,0x108ca77c0,12,ConsoleError
code-creation,Builtin,3,3889,0x108ca77e0,12,ConsoleInfo
code-creation,Builtin,3,3897,0x108ca7800,12,ConsoleLog
code-creation,Builtin,3,3904,0x108ca7820,12,ConsoleWarn
code-creation,Builtin,3,3913,0x108ca7840,12,ConsoleDir
code-creation,Builtin,3,3920,0x108ca7860,12,ConsoleDirXml
code-creation,Builtin,3,3928,0x108ca7880,12,ConsoleTable
code-creation,Builtin,3,3936,0x108ca78a0,12,ConsoleTrace
code-creation,Builtin,3,3943,0x108ca78c0,12,ConsoleGroup
code-creation,Builtin,3,3951,0x108ca78e0,12,ConsoleGroupCollapsed
code-creation,Builtin,3,3959,0x108ca7900,12,ConsoleGroupEnd
